EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
Your arrival and departure are coordinated personally by Guest Relations — nothing to organise here. If a detail is ever needed, they will simply ask you.	dynamic renderer	Eure An- und Abreise koordiniert Guest Relations persönlich — hier gibt es nichts zu organisieren. Falls je ein Detail nötig ist, fragen sie einfach nach.	การมาถึงและการเดินทางกลับของคุณ ฝ่ายดูแลแขกประสานงานให้ด้วยตนเอง ไม่มีอะไรต้องจัดการที่นี่ หากต้องการรายละเอียดเพิ่ม เราจะถามคุณเอง	ご到着とご出発はゲストリレーションズが直接調整します。こちらで手続きは不要。必要なことがあれば、こちらからお伺いします。
Your Bangkok stay	dynamic renderer	Euer Aufenthalt in Bangkok	ที่พักของคุณในกรุงเทพฯ	バンコクでのご滞在
Your Bangkok Stay	dynamic renderer	Euer Bangkok-Aufenthalt	ที่พักในกรุงเทพฯ ของคุณ	バンコクでのご滞在
YOUR CHOICE	dynamic renderer	EURE WAHL	คุณเลือกได้	ご選択ください
Your contacts	static page source	Eure Ansprechpartner	ช่องทางติดต่อ	お問い合わせ先
Your Contribution	dynamic renderer	Euer Beitrag	ยอดร่วมสมทบของคุณ	ご負担額
Your contribution reads as your journey: what you pay, when it happens. Everything else is hosted for you.	dynamic renderer	Euer Beitrag liest sich wie eure Reise: was ihr zahlt und wann es stattfindet. Alles andere ist für euch übernommen.	ยอดร่วมสมทบของคุณอ่านได้เหมือนเส้นทางเดินทาง สิ่งที่คุณจ่ายและช่วงเวลาที่เกิดขึ้น ส่วนที่เหลือเจ้าภาพดูแลให้ทั้งหมด	ご負担額は旅の行程そのもの。お支払いいただく内容と、その日程です。それ以外はすべて、おもてなしとしてご用意しています。
Your departure	dynamic renderer	Eure Abreise	การเดินทางกลับของคุณ	ご出発
Your departure · follows your onward itinerary	dynamic renderer	Eure Abreise · folgt eurer Weiterreise	การเดินทางกลับ · ตามแผนการเดินทางต่อของคุณ	ご出発・その後のご旅程に合わせて
Your exact arrival time and seat arrive in your Guest Area closer to the day.	static page source	Eure genaue Ankunftszeit und euer Platz erhalten euch näher am Tag im Gästebereich.	เวลามาถึงและที่นั่งของคุณจะแจ้งในพื้นที่สำหรับแขกเมื่อใกล้วันงาน	正確な到着時刻とお席は、当日が近づいたらゲストエリアへ。
Your final itinerary, with exact times	static page source	Euer endgültiger Reiseplan mit genauen Zeiten	กำหนดการสุดท้ายพร้อมเวลาที่แน่นอน	正確な時刻入りの最終旅程
your Guest Area	static page source	eurem Gästebereich	พื้นที่สำหรับแขกของคุณ	ゲストエリア
Your Guest Area	static page source	Euer Gästebereich	พื้นที่สำหรับแขกของคุณ	ゲストエリア
Your Guest Area answers	static page source	Euer Gästebereich beantwortet	พื้นที่สำหรับแขกตอบคำถาม	ゲストエリアが答えるのは
Your Guests	dynamic renderer	Eure Gäste	แขกของคุณ	ゲストの皆さま
Your invitation	static page source	Eure Einladung	บัตรเชิญของคุณ	ご招待状
Your Invitation · See You In Laos	static page source	Eure Einladung · See You In Laos	บัตรเชิญของคุณ · See You In Laos	ご招待状・See You In Laos
Your invitation and your journey are already prepared.	static page source	Eure Einladung und eure Reise sind bereits vorbereitet.	บัตรเชิญและการเดินทางของคุณถูกเตรียมไว้แล้ว	招待状と旅は、すでに用意されています。
Your invitation code	static page source	Euer Einladungscode	รหัสบัตรเชิญของคุณ	ご招待コード
Your journey	static page source	Eure Reise	การเดินทางของคุณ	旅の概要
Your journey is with Guest Relations	dynamic renderer	Eure Reise liegt bei Guest Relations	การเดินทางของคุณอยู่ในมือฝ่ายดูแลแขก	旅の手配はゲストリレーションズへ
Your Journey, at a glance	dynamic renderer	Eure Reise auf einen Blick	การเดินทางของคุณโดยสรุป	旅のひと目でわかるまとめ
Your journey, in order	dynamic renderer	Eure Reise, der Reihe nach	การเดินทางของคุณ ตามลำดับ	旅の行程（日付順）
Your journey, stay and wedding experience have been prepared for you.	static page source	Eure Reise, euer Aufenthalt und euer Hochzeitserlebnis sind für euch vorbereitet.	การเดินทาง ที่พัก และประสบการณ์งานแต่ง ถูกเตรียมไว้เพื่อคุณแล้ว	旅も滞在も、ウェディングの体験も——すべてあなたのために整えられています。
Your onward journey	dynamic renderer	Eure Weiterreise	การเดินทางต่อของคุณ	その後のご旅程
Your own way	dynamic renderer	Euer eigener Weg	แบบของคุณเอง	ご自身のスタイルで
Your registration has been received. Guest Relations will review your selections, availability and personal requirements, and you will be contacted with confirmations or any additional information.	static page source	Eure Registrierung ist eingegangen. Guest Relations prüft eure Auswahl, Verfügbarkeiten und persönlichen Wünsche; ihr werdet mit Bestätigungen oder weiteren Informationen kontaktiert.	ได้รับการลงทะเบียนของคุณแล้ว ฝ่ายดูแลแขกจะตรวจสอบตัวเลือก ห้องว่าง และความต้องการส่วนตัว แล้วติดต่อคุณพร้อมการยืนยันหรือข้อมูลเพิ่มเติม	ご登録を受け付けました。ゲストリレーションズが選択内容・空き状況・ご要望を確認し、確定または追加のご案内をお届けします。
Your registration is with Guest Relations. Khun Ket and Khun Paddy personally review every detail. Your private area stays open while they prepare your arrangements; no action is needed from you.	dynamic renderer	Eure Registrierung liegt bei Guest Relations. Khun Ket und Khun Paddy prüfen jedes Detail persönlich. Euer privater Bereich bleibt offen, während sie eure Arrangements vorbereiten; ihr müsst nichts weiter tun.	การลงทะเบียนของคุณอยู่กับฝ่ายดูแลแขกแล้ว คุณเกตุและคุณแพดดี้ตรวจทุกรายละเอียดด้วยตนเอง พื้นที่ส่วนตัวของคุณยังเปิดอยู่ระหว่างการจัดเตรียม โดยคุณไม่ต้องทำอะไรเพิ่ม	ご登録はゲストリレーションズが承りました。クン・ケットとクン・パディがすべてを直接確認します。準備の間もプライベートエリアは開いたまま——お客さまのご対応は不要です。
Your route	dynamic renderer	Eure Route	เส้นทางของคุณ	ルート
Your second hotel night is complimentary — part of the hospitality of your hosts. Room rates and requests live in your private Guest Area. This is a registration request. Guest Relations will confirm your arrangements separately.	static page source	Eure zweite Hotelnacht ist kostenfrei — Teil der Gastfreundschaft eurer Gastgeber. Beiträge und Anfragen leben in eurem privaten Gästebereich. Dies ist eine Registrierungsanfrage; Guest Relations bestätigt eure Arrangements separat.	คืนที่สองของโรงแรมไม่มีค่าใช้จ่าย เป็นส่วนหนึ่งของไมตรีจากเจ้าภาพ อัตราและคำขออยู่ในพื้นที่ส่วนตัวของคุณ นี่คือคำขอลงทะเบียน ฝ่ายดูแลแขกจะยืนยันแยกต่างหาก	2泊目はご招待——おふたりのおもてなしの一部です。ご負担額とリクエストはゲストエリアに。これは登録リクエストであり、手配はゲストリレーションズが別途確定します。
Your stay	static page source	Euer Aufenthalt	ที่พักของคุณ	ご滞在
Your Stay	dynamic renderer	Euer Aufenthalt	ที่พักของคุณ	ご滞在
Your Transfers	dynamic renderer	Eure Transfers	การรับส่งของคุณ	送迎
Your way to Laos	dynamic renderer	Euer Weg nach Laos	เส้นทางสู่ลาวของคุณ	ラオスへの道
Your wedding stay · Vientiane	dynamic renderer	Euer Hochzeitsaufenthalt · Vientiane	ที่พักช่วงงานแต่ง · เวียงจันทน์	挙式期間のご滞在・ビエンチャン
